airport,lon,lat
Bogota,-74.072092,4.710988599999999
Cartegena,-75.4794257,10.3910485
Cusco,-71.96746259999999,-13.53195
Detroit,-83.0457538,42.331427
Durham,-78.898619,35.9940329
Edingburgh,-3.188267,55.953252
Guayaquil,-79.9223592,-2.1709979
Halifax,-63.6061721,44.65053349999999
Ithaca,-76.5018807,42.4439614
Le Paz,-68.11929359999999,-16.489689
Lima,-77.042754,-12.0463731
London,-0.1277583,51.5073509
Los Angeles,-118.2436849,34.0522342
Minneapolis,-93.2650108,44.977753
Montreal,-73.567256,45.5016889
Ottawa,-75.69719309999999,45.4215296
Philadelphia,-75.1652215,39.9525839
Reykjavik,-21.9426354,64.146582
Toronto,-79.3831843,43.653226
Vancouver,-123.1207375,49.2827291
San Cristobal Island,-89.436391,-0.8674715
Winnipeg,-97.13837439999999,49.895136
Calgary,-114.0708459,51.0486151
Barcelona,2.1734035,41.3850639
Granada,-3.5985571,37.1773363
"Oxford, UK",-1.2577263,51.7520209
Split,16.4401935,43.5081323
Paris,2.3522219,48.856614
Berlin,13.404954,52.52000659999999
